Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_body;bert-base-uncased;ledgar;test;0;515;515;0;113.052
overview_atomic_body;bert-base-uncased;ledgar;validation;0;148;148;0;107.715
overview_atomic_body;bert-base-uncased;ledgar;train;9;4197;2991;0.003;696.757
overview_atomic_body;microsoft/deberta-base;ledgar;test;0;515;515;0;119.868
overview_atomic_body;microsoft/deberta-base;ledgar;validation;0;148;148;0;107.212
overview_atomic_body;microsoft/deberta-base;ledgar;train;20;4197;2991;0.007;717.703
overview_atomic_body;roberta-base;ledgar;test;0;515;515;0;116.951
overview_atomic_body;roberta-base;ledgar;validation;14;148;148;0.095;108.51
overview_atomic_body;roberta-base;ledgar;train;61;4197;2991;0.02;667.779
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;test;0;515;515;0;113.137
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;validation;2;148;148;0.014;109.196
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;train;0;4197;2991;0;680.883


overview_atomic_body;bert-base-uncased;scotus;test;444;12661;8980;0.049;173.198
overview_atomic_body;bert-base-uncased;scotus;validation;227;12737;8316;0.027;163.351
overview_atomic_body;bert-base-uncased;scotus;train;435;65448;38124;0.011;687.577
overview_atomic_body;microsoft/deberta-base;scotus;test;400;11980;8430;0.047;236.002
overview_atomic_body;microsoft/deberta-base;scotus;validation;369;12384;8155;0.045;227.839
overview_atomic_body;microsoft/deberta-base;scotus;train;1276;61022;36219;0.035;966.133
overview_atomic_body;roberta-base;scotus;test;588;11980;8430;0.07;161.336
overview_atomic_body;roberta-base;scotus;validation;451;12384;8155;0.055;163.775
overview_atomic_body;roberta-base;scotus;train;1522;61022;36219;0.042;647.969
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;test;236;13018;9189;0.026;180.793
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;validation;155;12898;8329;0.019;163.673
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;train;257;66433;38608;0.007;717.9


overview_atomic_body;bert-base-uncased;ecthr_a;test;3105;34492;18130;0.171;277.582
overview_atomic_body;bert-base-uncased;ecthr_a;validation;2201;24075;14366;0.153;229.081
overview_atomic_body;bert-base-uncased;ecthr_a;train;6026;216169;115952;0.052;1862.758
overview_atomic_body;microsoft/deberta-base;ecthr_a;test;1257;32140;17089;0.074;407.837
overview_atomic_body;microsoft/deberta-base;ecthr_a;validation;1099;23142;14025;0.078;349.618
overview_atomic_body;microsoft/deberta-base;ecthr_a;train;6172;204783;111682;0.055;2716.579
overview_atomic_body;roberta-base;ecthr_a;test;1300;32140;17089;0.076;267.544
overview_atomic_body;roberta-base;ecthr_a;validation;972;23142;14025;0.069;221.437
overview_atomic_body;roberta-base;ecthr_a;train;4985;204783;111682;0.045;1771.361
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;test;1925;34392;18191;0.106;278.454
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;1294;24283;14426;0.09;229.031
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;train;4887;216517;116351;0.042;1862.527


overview_atomic_body;bert-base-uncased;ecthr_b;test;2955;34492;18130;0.163;280.355
overview_atomic_body;bert-base-uncased;ecthr_b;validation;2685;24075;14366;0.187;227.283
overview_atomic_body;bert-base-uncased;ecthr_b;train;5126;216169;115952;0.044;1869.827
overview_atomic_body;microsoft/deberta-base;ecthr_b;test;2374;32140;17089;0.139;426.335
overview_atomic_body;microsoft/deberta-base;ecthr_b;validation;1355;23142;14025;0.097;350.181
overview_atomic_body;microsoft/deberta-base;ecthr_b;train;7073;204783;111682;0.063;2834.547
overview_atomic_body;roberta-base;ecthr_b;test;2505;32140;17089;0.147;262.75
overview_atomic_body;roberta-base;ecthr_b;validation;1725;23142;14025;0.123;221.895
overview_atomic_body;roberta-base;ecthr_b;train;8593;204783;111682;0.077;1852.227
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;test;1872;34392;18191;0.103;277.715
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;validation;1361;24283;14426;0.094;230.434
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;train;4945;216517;116351;0.043;1856.59


overview_atomic_body;bert-base-uncased;eurlex;test;2224;29125;14436;0.154;424.181
overview_atomic_body;bert-base-uncased;eurlex;validation;1661;27615;12689;0.131;344.536
overview_atomic_body;bert-base-uncased;eurlex;train;19023;264897;115185;0.165;3508.133
overview_atomic_body;microsoft/deberta-base;eurlex;test;1978;28245;14074;0.141;478.771
overview_atomic_body;microsoft/deberta-base;eurlex;validation;1832;26962;12615;0.145;455.078
overview_atomic_body;microsoft/deberta-base;eurlex;train;18103;256675;111535;0.162;4380.688
overview_atomic_body;roberta-base;eurlex;test;4684;28245;14074;0.333;407.332
overview_atomic_body;roberta-base;eurlex;validation;4365;26962;12615;0.346;336.615
overview_atomic_body;roberta-base;eurlex;train;30601;256675;111535;0.274;3241.898
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;test;1697;29125;14510;0.117;422.787
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;validation;1294;27628;12702;0.102;339.424
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;train;18658;264979;115254;0.162;3516.169


Technique;num_errors;num_occurrences;num_cases_modified;err_rate;time (s);;;
overview_atomic_body;190378;3780656;1959010;0.097;47167;;;
