description;dataset;model;set;error_race_only_error;error_gender_only_error;error_both_error;error_intersection_only_error;not_race_only_error;not_gender_only_error;not_both_error;not_no_error
intersectionality;ledgar;bert-base-uncased;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;bert-base-uncased;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;bert-base-uncased;train;0;0;0;0;0;0;0;7043
intersectionality;ledgar;microsoft/deberta-base;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;microsoft/deberta-base;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;microsoft/deberta-base;train;0;0;0;0;0;0;0;7043
intersectionality;ledgar;roberta-base;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;roberta-base;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;roberta-base;train;11;0;0;0;13;0;0;7019
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;test;0;0;0;0;0;0;0;88
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;validation;0;0;0;0;0;0;0;1159
intersectionality;ledgar;nlpaueb/legal-bert-base-uncased;train;0;0;0;0;0;0;0;7043
total_ledgar;ledgar;;;11;0;0;0;13;0;0;33136

intersectionality;scotus;bert-base-uncased;test;6416;3071;5214;397;559;233;218;57727
intersectionality;scotus;bert-base-uncased;validation;4992;131;201;458;532;123;3;38290
intersectionality;scotus;bert-base-uncased;train;3344;113;0;505;167;107;0;261843
intersectionality;scotus;microsoft/deberta-base;test;9250;296;1361;1033;304;154;0;56829
intersectionality;scotus;microsoft/deberta-base;validation;833;70;18;391;281;203;0;42418
intersectionality;scotus;microsoft/deberta-base;train;15970;231;408;511;221;108;2;223578
intersectionality;scotus;roberta-base;test;6835;2;6;181;113;4;0;62086
intersectionality;scotus;roberta-base;validation;5324;15;650;39;96;3;0;38087
intersectionality;scotus;roberta-base;train;8316;2486;412;1508;412;331;3;227561
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;test;631;48;85;83;37;9;2;72670
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;validation;2624;0;1;94;16;2;1;45085
intersectionality;scotus;nlpaueb/legal-bert-base-uncased;train;3411;22;1;185;57;0;0;264033
total_scotus;scotus;;;67946;6485;8357;5385;2795;1277;229;1390207

intersectionality;ecthr_a;bert-base-uncased;test;16951;4423;3784;2232;1614;2805;20;144719
intersectionality;ecthr_a;bert-base-uncased;validation;9244;1562;1555;1252;786;1277;47;113112
intersectionality;ecthr_a;bert-base-uncased;train;26727;7628;5534;5920;3199;5308;116;1201703
intersectionality;ecthr_a;microsoft/deberta-base;test;6896;806;965;942;868;742;36;153491
intersectionality;ecthr_a;microsoft/deberta-base;validation;3246;2367;2462;567;1070;982;30;110345
intersectionality;ecthr_a;microsoft/deberta-base;train;39819;8258;11915;7988;6295;6697;223;1101376
intersectionality;ecthr_a;roberta-base;test;9093;1672;2161;1023;1125;512;137;149023
intersectionality;ecthr_a;roberta-base;validation;6124;753;1651;845;1248;1460;48;108940
intersectionality;ecthr_a;roberta-base;train;28675;9177;4997;6335;6589;5100;162;1121536
intersectionality;ecthr_a;nlpaueb/legal-bert-base-uncased;test;10661;1841;1194;2179;1160;965;99;156791
