Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_intersectional_body_gender;bert-base-uncased;ledgar;test;0;0;656;0;471.903
overview_intersectional_body_gender;bert-base-uncased;ledgar;validation;0;0;54;0;480.613
overview_intersectional_body_gender;bert-base-uncased;ledgar;train;5;0;9921;0.001;3139.235
overview_intersectional_body_gender;microsoft/deberta-base;ledgar;test;0;0;656;0;474.109
overview_intersectional_body_gender;microsoft/deberta-base;ledgar;validation;0;0;54;0;474.322
overview_intersectional_body_gender;microsoft/deberta-base;ledgar;train;17;0;9921;0.002;3169.042
overview_intersectional_body_gender;roberta-base;ledgar;test;0;0;656;0;466.42
overview_intersectional_body_gender;roberta-base;ledgar;validation;2;0;54;0.037;475.11
overview_intersectional_body_gender;roberta-base;ledgar;train;450;0;9921;0.045;3040.316
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ledgar;test;0;0;656;0;466.339
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ledgar;validation;0;0;54;0;473.835
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ledgar;train;0;0;9921;0;3077.677
;;;;;;;;
;;;;;;;;
overview_intersectional_body_gender;bert-base-uncased;scotus;test;6525;0;97382;0.067;4351.447
overview_intersectional_body_gender;bert-base-uncased;scotus;validation;1997;0;91990;0.022;5118.143
overview_intersectional_body_gender;bert-base-uncased;scotus;train;4013;0;494546;0.008;24758.712
overview_intersectional_body_gender;microsoft/deberta-base;scotus;test;3865;0;78673;0.049;5849.283
overview_intersectional_body_gender;microsoft/deberta-base;scotus;validation;2434;0;88027;0.028;7416.386
overview_intersectional_body_gender;microsoft/deberta-base;scotus;train;18362;0;457600;0.04;36150.425
overview_intersectional_body_gender;roberta-base;scotus;test;8970;0;78673;0.114;3553.982
overview_intersectional_body_gender;roberta-base;scotus;validation;4856;0;88027;0.055;4727.486
overview_intersectional_body_gender;roberta-base;scotus;train;19273;0;457600;0.042;22091.504
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;scotus;test;4929;0;94865;0.052;4272.84
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;scotus;validation;1478;0;90942;0.016;5032.501
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;scotus;train;6358;0;503587;0.013;24044.346
;;;;;;;;
;;;;;;;;
overview_intersectional_body_gender;bert-base-uncased;ecthr_a;test;33966;0;233050;0.146;10369.022
overview_intersectional_body_gender;bert-base-uncased;ecthr_a;validation;34500;0;214275;0.161;9396.824
overview_intersectional_body_gender;bert-base-uncased;ecthr_a;train;94375;0;1586111;0.06;74353.703
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_a;test;16167;0;216599;0.075;16695.952
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_a;validation;18769;0;194573;0.096;14453.555
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_a;train;88395;0;1473053;0.06;117330.655
overview_intersectional_body_gender;roberta-base;ecthr_a;test;19129;0;216599;0.088;10049.287
overview_intersectional_body_gender;roberta-base;ecthr_a;validation;15401;0;194573;0.079;8896.744
overview_intersectional_body_gender;roberta-base;ecthr_a;train;82297;0;1473053;0.056;68139.232
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;test;24902;0;230126;0.108;10288.125
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;20634;0;212268;0.097;9691.184
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;train;71141;0;1589860;0.045;74211.381
;;;;;;;;
;;;;;;;;
overview_intersectional_body_gender;bert-base-uncased;ecthr_b;test;38505;0;233050;0.165;10270.423
overview_intersectional_body_gender;bert-base-uncased;ecthr_b;validation;49347;0;214275;0.23;9557.78
overview_intersectional_body_gender;bert-base-uncased;ecthr_b;train;75375;0;1586111;0.048;74441.717
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_b;test;33667;0;216599;0.155;16991.35
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_b;validation;17603;0;194573;0.09;14493.67
overview_intersectional_body_gender;microsoft/deberta-base;ecthr_b;train;111536;0;1473053;0.076;117958.173
overview_intersectional_body_gender;roberta-base;ecthr_b;test;32585;0;216599;0.15;9677.002
overview_intersectional_body_gender;roberta-base;ecthr_b;validation;26716;0;194573;0.137;8497.437
overview_intersectional_body_gender;roberta-base;ecthr_b;train;139033;0;1473053;0.094;69240.194
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;test;27524;0;230126;0.12;10262.562
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;validation;15490;0;212268;0.073;9293.085
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;train;66184;0;1589860;0.042;77591.426
;;;;;;;;
;;;;;;;;
overview_intersectional_body_gender;bert-base-uncased;eurlex;test;1505;0;10395;0.145;1825.994
overview_intersectional_body_gender;bert-base-uncased;eurlex;validation;1113;0;8128;0.137;1594.679
overview_intersectional_body_gender;bert-base-uncased;eurlex;train;10905;0;74637;0.146;16409.269
overview_intersectional_body_gender;microsoft/deberta-base;eurlex;test;2387;0;8375;0.285;1691.138
overview_intersectional_body_gender;microsoft/deberta-base;eurlex;validation;1185;0;7983;0.148;1578.643
overview_intersectional_body_gender;microsoft/deberta-base;eurlex;train;11108;0;68490;0.162;15779.784
overview_intersectional_body_gender;roberta-base;eurlex;test;2073;0;8375;0.248;1572.057
overview_intersectional_body_gender;roberta-base;eurlex;validation;1853;0;7983;0.232;1468.526
overview_intersectional_body_gender;roberta-base;eurlex;train;14367;0;68490;0.21;14379.707
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;eurlex;test;936;0;10422;0.09;1790.772
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;eurlex;validation;692;0;8128;0.085;1621.748
overview_intersectional_body_gender;nlpaueb/legal-bert-base-uncased;eurlex;train;11579;0;75918;0.153;16405.331
;;;;;;;;
;;;;;;;;
Technique;num_errors;num_occurrences;num_cases_modified;err_rate;time (s);;;
overview_intersectional_body_gender;1296478;0;18690040;0.069;1091844;;;
