Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_gender;bert-base-uncased;ledgar;test;189;11370;7456;0.025;325.093
overview_atomic_gender;bert-base-uncased;ledgar;validation;394;11655;7767;0.051;326.481
overview_atomic_gender;bert-base-uncased;ledgar;train;39;75917;49416;0.001;2019.902
overview_atomic_gender;microsoft/deberta-base;ledgar;test;135;11372;7458;0.018;397.899
overview_atomic_gender;microsoft/deberta-base;ledgar;validation;141;11655;7767;0.018;397.568
overview_atomic_gender;microsoft/deberta-base;ledgar;train;184;75979;49478;0.004;2565.514
overview_atomic_gender;roberta-base;ledgar;test;194;11372;7458;0.026;320.115
overview_atomic_gender;roberta-base;ledgar;validation;247;11655;7767;0.032;321.205
overview_atomic_gender;roberta-base;ledgar;train;459;75979;49478;0.009;2037.176
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;test;159;11392;7478;0.021;320.571
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;validation;157;11655;7767;0.02;322.983
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;train;172;76191;49622;0.003;2032.634
;;;;;;;;
;;;;;;;;
overview_atomic_gender;bert-base-uncased;scotus;test;392;26503;14126;0.028;463.286
overview_atomic_gender;bert-base-uncased;scotus;validation;232;22660;10705;0.022;391.668
overview_atomic_gender;bert-base-uncased;scotus;train;65;89986;51966;0.001;2286.05
overview_atomic_gender;microsoft/deberta-base;scotus;test;283;25425;13693;0.021;716.346
overview_atomic_gender;microsoft/deberta-base;scotus;validation;261;22208;10572;0.025;593.566
overview_atomic_gender;microsoft/deberta-base;scotus;train;371;85977;50313;0.007;3630.661
overview_atomic_gender;roberta-base;scotus;test;198;25425;13693;0.014;446.006
overview_atomic_gender;roberta-base;scotus;validation;185;22208;10572;0.017;381.521
overview_atomic_gender;roberta-base;scotus;train;444;85977;50313;0.009;2199.248
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;test;136;26724;14206;0.01;471.957
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;validation;208;23017;10808;0.019;380.791
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;train;42;91154;52476;0.001;2293.433
;;;;;;;;
;;;;;;;;
overview_atomic_gender;bert-base-uncased;ecthr_a;test;632;25488;10540;0.06;399.319
overview_atomic_gender;bert-base-uncased;ecthr_a;validation;459;26427;10941;0.042;437.751
overview_atomic_gender;bert-base-uncased;ecthr_a;train;1176;209270;91223;0.013;3647.851
overview_atomic_gender;microsoft/deberta-base;ecthr_a;test;301;24223;10239;0.029;687.431
overview_atomic_gender;microsoft/deberta-base;ecthr_a;validation;412;25200;10573;0.039;716.984
overview_atomic_gender;microsoft/deberta-base;ecthr_a;train;1478;197906;88442;0.017;5884.172
overview_atomic_gender;roberta-base;ecthr_a;test;300;24223;10239;0.029;393.742
overview_atomic_gender;roberta-base;ecthr_a;validation;334;25200;10573;0.032;425.346
overview_atomic_gender;roberta-base;ecthr_a;train;1359;197906;88442;0.015;3492.281
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;test;455;25700;10528;0.043;404.163
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;457;26714;10962;0.042;436.229
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_a;train;1323;211939;91778;0.014;3627.969
;;;;;;;;
;;;;;;;;
overview_atomic_gender;bert-base-uncased;ecthr_b;test;670;25488;10540;0.064;406.281
overview_atomic_gender;bert-base-uncased;ecthr_b;validation;600;26427;10941;0.055;430.595
overview_atomic_gender;bert-base-uncased;ecthr_b;train;742;209270;91223;0.008;3611.43
overview_atomic_gender;microsoft/deberta-base;ecthr_b;test;506;24223;10239;0.049;690.984
overview_atomic_gender;microsoft/deberta-base;ecthr_b;validation;419;25200;10573;0.04;716.57
overview_atomic_gender;microsoft/deberta-base;ecthr_b;train;1869;197906;88442;0.021;5905.646
overview_atomic_gender;roberta-base;ecthr_b;test;548;24223;10239;0.054;392.577
overview_atomic_gender;roberta-base;ecthr_b;validation;437;25200;10573;0.041;442.707
overview_atomic_gender;roberta-base;ecthr_b;train;2252;197906;88442;0.025;3537.435
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;test;396;25700;10528;0.038;402.82
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;validation;323;26714;10962;0.029;441.845
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ecthr_b;train;1312;211939;91778;0.014;3779.21
;;;;;;;;
;;;;;;;;
overview_atomic_gender;bert-base-uncased;eurlex;test;56;4148;2287;0.024;306.421
overview_atomic_gender;bert-base-uncased;eurlex;validation;74;3698;2154;0.034;280.95
overview_atomic_gender;bert-base-uncased;eurlex;train;1288;34816;20242;0.064;3098.587
overview_atomic_gender;microsoft/deberta-base;eurlex;test;82;3746;2045;0.04;292.64
overview_atomic_gender;microsoft/deberta-base;eurlex;validation;65;3487;2035;0.032;283.443
overview_atomic_gender;microsoft/deberta-base;eurlex;train;1374;32806;19284;0.071;3078.894
overview_atomic_gender;roberta-base;eurlex;test;116;3746;2045;0.057;263.722
overview_atomic_gender;roberta-base;eurlex;validation;57;3487;2035;0.028;254.418
overview_atomic_gender;roberta-base;eurlex;train;1206;32806;19284;0.063;2811.905
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;eurlex;test;26;4128;2313;0.011;299.088
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;eurlex;validation;76;3704;2157;0.035;271.61
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;eurlex;train;906;35279;20427;0.044;3097.032
;;;;;;;;
;;;;;;;;
Technique;num_errors;num_occurrences;num_cases_modified;err_rate;time (s);;;
overview_atomic_gender;29373;3149699;1547623;0.019;81291;;;
