Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_race;bert-base-uncased;ledgar;test;3;1193;755;0.004;556.311
overview_atomic_race;bert-base-uncased;ledgar;validation;83;1341;989;0.084;577.486
overview_atomic_race;bert-base-uncased;ledgar;train;35;6400;5345;0.007;3526.068
overview_atomic_race;microsoft/deberta-base;ledgar;test;6;1215;777;0.008;544.521
overview_atomic_race;microsoft/deberta-base;ledgar;validation;33;1341;989;0.033;582.475
overview_atomic_race;microsoft/deberta-base;ledgar;train;39;6422;5367;0.007;3532.628
overview_atomic_race;roberta-base;ledgar;test;82;1215;777;0.106;534.737
overview_atomic_race;roberta-base;ledgar;validation;16;1341;989;0.016;573.218
overview_atomic_race;roberta-base;ledgar;train;45;6422;5367;0.008;3480.183
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ledgar;test;105;1237;777;0.135;540.212
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ledgar;validation;11;1341;989;0.011;577.166
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ledgar;train;62;6542;5367;0.012;3505.289
;;;;;;;;
;;;;;;;;
overview_atomic_race;bert-base-uncased;scotus;test;595;19323;8035;0.074;404.423
overview_atomic_race;bert-base-uncased;scotus;validation;868;20921;7589;0.114;412.134
overview_atomic_race;bert-base-uncased;scotus;train;284;51823;23212;0.012;1457.835
overview_atomic_race;microsoft/deberta-base;scotus;test;600;18835;7778;0.077;494.216
overview_atomic_race;microsoft/deberta-base;scotus;validation;509;20419;7520;0.068;489.417
overview_atomic_race;microsoft/deberta-base;scotus;train;895;48371;22274;0.04;1802.985
overview_atomic_race;roberta-base;scotus;test;514;18835;7778;0.066;384.202
overview_atomic_race;roberta-base;scotus;validation;944;20419;7520;0.126;392.323
overview_atomic_race;roberta-base;scotus;train;896;48371;22274;0.04;1390.603
overview_atomic_race;nlpaueb/legal-bert-base-uncased;scotus;test;215;19345;8057;0.027;405.937
overview_atomic_race;nlpaueb/legal-bert-base-uncased;scotus;validation;500;21372;7614;0.066;412.286
overview_atomic_race;nlpaueb/legal-bert-base-uncased;scotus;train;253;51915;23160;0.011;1467.717
;;;;;;;;
;;;;;;;;
overview_atomic_race;bert-base-uncased;ecthr_a;test;1702;24842;14260;0.119;543.003
overview_atomic_race;bert-base-uncased;ecthr_a;validation;916;18691;11100;0.083;476.142
overview_atomic_race;bert-base-uncased;ecthr_a;train;3385;197520;119521;0.028;4585.307
overview_atomic_race;microsoft/deberta-base;ecthr_a;test;914;24112;13987;0.065;808.624
overview_atomic_race;microsoft/deberta-base;ecthr_a;validation;647;18246;10858;0.06;694.904
overview_atomic_race;microsoft/deberta-base;ecthr_a;train;4218;189748;117329;0.036;6710.84
overview_atomic_race;roberta-base;ecthr_a;test;850;24112;13987;0.061;528.557
overview_atomic_race;roberta-base;ecthr_a;validation;572;18246;10858;0.053;451.415
overview_atomic_race;roberta-base;ecthr_a;train;3672;189748;117329;0.031;4483.546
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_a;test;1218;25019;14261;0.085;542.514
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;1040;18976;11187;0.093;472.069
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_a;train;3647;198803;120229;0.03;4471.274
;;;;;;;;
;;;;;;;;
overview_atomic_race;bert-base-uncased;ecthr_b;test;2131;24842;14260;0.149;547.038
overview_atomic_race;bert-base-uncased;ecthr_b;validation;1404;18691;11100;0.126;473.685
overview_atomic_race;bert-base-uncased;ecthr_b;train;3207;197520;119521;0.027;4479.155
overview_atomic_race;microsoft/deberta-base;ecthr_b;test;871;24112;13987;0.062;817.496
overview_atomic_race;microsoft/deberta-base;ecthr_b;validation;711;18246;10858;0.065;699.899
overview_atomic_race;microsoft/deberta-base;ecthr_b;train;4454;189748;117329;0.038;6716.466
overview_atomic_race;roberta-base;ecthr_b;test;744;24112;13987;0.053;528.152
overview_atomic_race;roberta-base;ecthr_b;validation;717;18246;10858;0.066;456.54
overview_atomic_race;roberta-base;ecthr_b;train;6501;189748;117329;0.055;4361.19
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_b;test;1289;25019;14261;0.09;543.793
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_b;validation;667;18976;11187;0.06;474.017
overview_atomic_race;nlpaueb/legal-bert-base-uncased;ecthr_b;train;4675;198803;120229;0.039;4512.543
;;;;;;;;
;;;;;;;;
overview_atomic_race;bert-base-uncased;eurlex;test;15737;627601;146343;0.108;5353.546
overview_atomic_race;bert-base-uncased;eurlex;validation;12764;546168;149497;0.085;5364.612
overview_atomic_race;bert-base-uncased;eurlex;train;108725;4852403;1738306;0.063;63836.303
overview_atomic_race;microsoft/deberta-base;eurlex;test;29641;609724;145102;0.204;8975.46
overview_atomic_race;microsoft/deberta-base;eurlex;validation;24337;528071;148003;0.164;8681.939
overview_atomic_race;microsoft/deberta-base;eurlex;train;188195;4735851;1726641;0.109;104207.377
overview_atomic_race;roberta-base;eurlex;test;19949;609724;145102;0.137;5423.024
overview_atomic_race;roberta-base;eurlex;validation;17331;528071;148003;0.117;5385.401
overview_atomic_race;roberta-base;eurlex;train;151571;4735851;1726641;0.088;63610.733
overview_atomic_race;nlpaueb/legal-bert-base-uncased;eurlex;test;17770;627440;146089;0.122;5481.437
overview_atomic_race;nlpaueb/legal-bert-base-uncased;eurlex;validation;14253;546271;149608;0.095;5305.335
overview_atomic_race;nlpaueb/legal-bert-base-uncased;eurlex;train;128764;4860838;1739908;0.074;63015.083
;;;;;;;;
;;;;;;;;
Technique;num_errors;num_occurrences;num_cases_modified;err_rate;time (s);;;
overview_atomic_race;786782;26100098;9440354;0.083;422062;;;
