Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_body;bert-base-uncased;ledgar;test;0;592;592;0.0;112.075
overview_atomic_body;bert-base-uncased;ledgar;validation;0;148;148;0.0;111.789
overview_atomic_body;bert-base-uncased;ledgar;train;9;4388;3191;0.003;704.828
overview_atomic_body;microsoft/deberta-base;ledgar;test;0;592;592;0.0;113.378
overview_atomic_body;microsoft/deberta-base;ledgar;validation;0;148;148;0.0;111.002
overview_atomic_body;microsoft/deberta-base;ledgar;train;15;4388;3191;0.005;715.341
overview_atomic_body;roberta-base;ledgar;test;0;592;592;0.0;109.386
overview_atomic_body;roberta-base;ledgar;validation;14;148;148;0.095;110.137
overview_atomic_body;roberta-base;ledgar;train;60;4388;3191;0.019;696.558
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;test;0;592;592;0.0;108.817
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;validation;2;148;148;0.014;109.166
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ledgar;train;0;4388;3191;0.0;693.993
overview_atomic_body;bert-base-uncased;scotus;test;442;12748;8974;0.049;173.921
overview_atomic_body;bert-base-uncased;scotus;validation;230;13054;8234;0.028;164.949
overview_atomic_body;bert-base-uncased;scotus;train;452;66488;38339;0.012;706.408
overview_atomic_body;microsoft/deberta-base;scotus;test;414;12008;8382;0.049;236.785
overview_atomic_body;microsoft/deberta-base;scotus;validation;364;12684;8086;0.045;231.406
overview_atomic_body;microsoft/deberta-base;scotus;train;1275;62038;36410;0.035;987.927
overview_atomic_body;roberta-base;scotus;test;595;12008;8382;0.071;162.632
overview_atomic_body;roberta-base;scotus;validation;459;12684;8086;0.057;160.074
overview_atomic_body;roberta-base;scotus;train;1540;62038;36410;0.042;671.225
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;test;252;13118;9196;0.027;177.612
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;validation;221;13202;8234;0.027;165.11
overview_atomic_body;nlpaueb/legal-bert-base-uncased;scotus;train;257;67519;38857;0.007;709.384
overview_atomic_body;bert-base-uncased;ecthr_a;test;3196;34686;18184;0.176;281.843
overview_atomic_body;bert-base-uncased;ecthr_a;validation;2185;24356;14351;0.152;232.2
overview_atomic_body;bert-base-uncased;ecthr_a;train;6141;224355;119018;0.052;1927.777
overview_atomic_body;microsoft/deberta-base;ecthr_a;test;1271;32318;17148;0.074;413.586
overview_atomic_body;microsoft/deberta-base;ecthr_a;validation;1150;23394;13981;0.082;345.917
overview_atomic_body;microsoft/deberta-base;ecthr_a;train;6372;212056;114494;0.056;2853.379
overview_atomic_body;roberta-base;ecthr_a;test;1347;32318;17148;0.079;266.658
overview_atomic_body;roberta-base;ecthr_a;validation;987;23394;13981;0.071;225.188
overview_atomic_body;roberta-base;ecthr_a;train;5233;212056;114494;0.046;1845.095
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;test;1934;34612;18258;0.106;281.13
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;1292;24578;14425;0.09;231.813
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_a;train;4965;224794;119457;0.042;1922.864
overview_atomic_body;bert-base-uncased;ecthr_b;test;2971;34686;18184;0.163;281.346
overview_atomic_body;bert-base-uncased;ecthr_b;validation;2727;24356;14351;0.19;231.57
overview_atomic_body;bert-base-uncased;ecthr_b;train;5316;224355;119018;0.045;1934.302
overview_atomic_body;microsoft/deberta-base;ecthr_b;test;2367;32318;17148;0.138;413.712
overview_atomic_body;microsoft/deberta-base;ecthr_b;validation;1342;23394;13981;0.096;347.027
overview_atomic_body;microsoft/deberta-base;ecthr_b;train;7272;212056;114494;0.064;2859.581
overview_atomic_body;roberta-base;ecthr_b;test;2560;32318;17148;0.149;264.631
overview_atomic_body;roberta-base;ecthr_b;validation;1715;23394;13981;0.123;225.05
overview_atomic_body;roberta-base;ecthr_b;train;8614;212056;114494;0.075;1846.542
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;test;1935;34612;18258;0.106;280.631
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;validation;1364;24578;14425;0.095;229.603
overview_atomic_body;nlpaueb/legal-bert-base-uncased;ecthr_b;train;5102;224794;119457;0.043;1930.095
overview_atomic_body;bert-base-uncased;eurlex;test;2235;29251;14554;0.154;393.329
overview_atomic_body;bert-base-uncased;eurlex;validation;1693;27937;12826;0.132;362.389
overview_atomic_body;bert-base-uncased;eurlex;train;18959;268134;116165;0.163;3668.13
overview_atomic_body;microsoft/deberta-base;eurlex;test;1974;28358;14179;0.139;488.887
overview_atomic_body;microsoft/deberta-base;eurlex;validation;1862;27271;12752;0.146;453.68
overview_atomic_body;microsoft/deberta-base;eurlex;train;17983;259712;112302;0.16;4392.016
overview_atomic_body;roberta-base;eurlex;test;4678;28358;14179;0.33;366.982
overview_atomic_body;roberta-base;eurlex;validation;4373;27271;12752;0.343;341.236
overview_atomic_body;roberta-base;eurlex;train;30529;259712;112302;0.272;3440.456
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;test;1687;29251;14628;0.115;391.155
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;validation;1304;27937;12826;0.102;359.433
overview_atomic_body;nlpaueb/legal-bert-base-uncased;eurlex;train;18763;268134;116165;0.162;3662.207

Technique;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_body;191999;3867261;1988822;0.097;48235
