Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_atomic_gender;bert-base-uncased;ledgar;test;183;10636;6958;0.026;343.441
overview_atomic_gender;bert-base-uncased;ledgar;validation;389;10962;7294;0.053;358.757
overview_atomic_gender;bert-base-uncased;ledgar;train;39;71488;46565;0.001;2219.312
overview_atomic_gender;microsoft/deberta-base;ledgar;test;130;10637;6959;0.019;409.22
overview_atomic_gender;microsoft/deberta-base;ledgar;validation;135;10962;7294;0.019;423.984
overview_atomic_gender;microsoft/deberta-base;ledgar;train;181;71549;46626;0.004;2657.503
overview_atomic_gender;roberta-base;ledgar;test;193;10637;6959;0.028;340.523
overview_atomic_gender;roberta-base;ledgar;validation;242;10962;7294;0.033;354.921
overview_atomic_gender;roberta-base;ledgar;train;455;71549;46626;0.01;2196.612
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;test;155;10657;6979;0.022;338.078
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;validation;150;10962;7294;0.021;354.384
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;ledgar;train;172;71756;46769;0.004;2168.532
overview_atomic_gender;bert-base-uncased;scotus;test;388;24324;13358;0.029;315.129
overview_atomic_gender;bert-base-uncased;scotus;validation;226;20575;9951;0.023;264.492
overview_atomic_gender;bert-base-uncased;scotus;train;63;83852;49585;0.001;1141.495
overview_atomic_gender;microsoft/deberta-base;scotus;test;278;23385;12956;0.021;420.601
overview_atomic_gender;microsoft/deberta-base;scotus;validation;254;20179;9824;0.026;346.624
overview_atomic_gender;microsoft/deberta-base;scotus;train;369;80172;47999;0.008;1535.836
overview_atomic_gender;roberta-base;scotus;test;192;23385;12956;0.015;303.895
overview_atomic_gender;roberta-base;scotus;validation;180;20179;9824;0.018;259.156
overview_atomic_gender;roberta-base;scotus;train;430;80172;47999;0.009;1096.806
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;test;133;24513;13433;0.01;318.377
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;validation;205;20897;10051;0.02;267.943
overview_atomic_gender;nlpaueb/legal-bert-base-uncased;scotus;train;42;84881;50073;0.001;1149.724
overview_atomic_gender;bert-base-uncased;ecthr_a;test;606;21748;9604;0.063;226.335
overview_atomic_gender;bert-base-uncased;ecthr_a;validation;440;22525;9970;0.044;232.42
overview_atomic_gender;bert-base-uncased;ecthr_a;train;1130;178174;82745;0.014;1968.72
overview_atomic_gender;microsoft/deberta-base;ecthr_a;test;282;20661;9317;0.03;300.386
overview_atomic_gender;microsoft/deberta-base;ecthr_a;validation;386;21486;9613;0.04;308.249
