Technique;model;dataset;set;num_errors;num_occurrences;num_cases_modified;err_rate;time (s)
overview_intersectional_body_race;bert-base-uncased;ledgar;test;0;0;0;None;3020.749
overview_intersectional_body_race;bert-base-uncased;ledgar;validation;0;0;0;None;3132.069
overview_intersectional_body_race;bert-base-uncased;ledgar;train;0;0;0;None;19116.59
overview_intersectional_body_race;microsoft/deberta-base;ledgar;test;0;0;0;None;2975.415
overview_intersectional_body_race;microsoft/deberta-base;ledgar;validation;0;0;0;None;3104.997
overview_intersectional_body_race;microsoft/deberta-base;ledgar;train;0;0;0;None;18865.031
overview_intersectional_body_race;roberta-base;ledgar;test;0;0;0;None;2976.442
overview_intersectional_body_race;roberta-base;ledgar;validation;0;0;0;None;3068.031
overview_intersectional_body_race;roberta-base;ledgar;train;0;0;0;None;18796.668
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ledgar;test;0;0;0;None;2971.363
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ledgar;validation;0;0;0;None;3091.737
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ledgar;train;0;0;0;None;18788.436
;;;;;;;;
;;;;;;;;
overview_intersectional_body_race;bert-base-uncased;scotus;test;15113;0;86627;0.174;5305.564
overview_intersectional_body_race;bert-base-uncased;scotus;validation;535;0;46466;0.012;4277.808
overview_intersectional_body_race;bert-base-uncased;scotus;train;1534;0;185144;0.008;17538.467
overview_intersectional_body_race;microsoft/deberta-base;scotus;test;949;0;82050;0.012;6498.612
overview_intersectional_body_race;microsoft/deberta-base;scotus;validation;2639;0;46466;0.057;4997.718
overview_intersectional_body_race;microsoft/deberta-base;scotus;train;9187;0;178361;0.052;19838.167
overview_intersectional_body_race;roberta-base;scotus;test;755;0;82050;0.009;4763.911
overview_intersectional_body_race;roberta-base;scotus;validation;1588;0;46466;0.034;4050.354
overview_intersectional_body_race;roberta-base;scotus;train;2329;0;178361;0.013;16304.421
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;scotus;test;2537;0;84800;0.03;5242.098
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;scotus;validation;7196;0;46466;0.155;4339.215
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;scotus;train;1025;0;192607;0.005;17765.478
;;;;;;;;
;;;;;;;;
overview_intersectional_body_race;bert-base-uncased;ecthr_a;test;104402;0;384960;0.271;18230.752
overview_intersectional_body_race;bert-base-uncased;ecthr_a;validation;39410;0;227093;0.174;12127.161
overview_intersectional_body_race;bert-base-uncased;ecthr_a;train;165324;0;2192846;0.075;112421.551
overview_intersectional_body_race;microsoft/deberta-base;ecthr_a;test;43171;0;356686;0.121;27103.7
overview_intersectional_body_race;microsoft/deberta-base;ecthr_a;validation;24000;0;222715;0.108;19316.447
overview_intersectional_body_race;microsoft/deberta-base;ecthr_a;train;138131;0;2082239;0.066;168737.438
overview_intersectional_body_race;roberta-base;ecthr_a;test;39252;0;356686;0.11;16470.003
overview_intersectional_body_race;roberta-base;ecthr_a;validation;24186;0;222715;0.109;11725.54
overview_intersectional_body_race;roberta-base;ecthr_a;train;119118;0;2082239;0.057;108611.9
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ecthr_a;test;79506;0;378896;0.21;17678.466
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ecthr_a;validation;28925;0;225149;0.128;12032.724
overview_intersectional_body_race;nlpaueb/legal-bert-base-uncased;ecthr_a;train;110535;0;2228185;0.05;119908.708
;;;;;;;;
;;;;;;;;
overview_intersectional_body_race;bert-base-uncased;ecthr_b;test;91182;0;384960;0.237;17967.15
overview_intersectional_body_race;bert-base-uncased;ecthr_b;validation;47844;0;227093;0.211;12080.682
overview_intersectional_body_race;bert-base-uncased;ecthr_b;train;175696;0;2192846;0.08;115773.977
overview_intersectional_body_race;microsoft/deberta-base;ecthr_b;test;70915;0;356686;0.199;27015.231
